interval,lookback,rollback,buy,sell,% return
1h,1000,10,119,133,205.44205187350707
1h,1001,10,119,133,205.44205187350707
1h,1000,11,112,123,171.07644422812746
1h,1001,11,112,123,171.07644422812746
1h,1000,12,101,110,139.67394765160086
1h,1001,12,101,110,139.67394765160086
1h,1000,13,94,101,58.982543075188
1h,1001,13,95,102,59.09283411717132
1h,1000,14,83,89,63.45841081936734
1h,1001,14,83,89,63.45841081936734
1h,1000,15,78,83,66.379365027657
1h,1001,15,78,83,66.379365027657
1h,1000,16,71,75,30.407284953301694
1h,1001,16,71,75,30.407284953301694
1h,1000,17,68,71,8.237786450272155
1h,1001,17,68,71,8.237786450272155
1h,1000,18,61,64,7.46210831876819
1h,1001,18,61,64,7.46210831876819
1h,1000,19,60,62,2.4695699005200744
1h,1001,19,61,63,3.535547442320164
1h,1000,20,57,59,2.0081364028436077
1h,1001,20,57,59,2.0081364028436077
1h,1000,21,52,54,3.9890107260179386
1h,1001,21,52,54,3.9890107260179386
1h,1000,22,47,49,7.552820890804668
1h,1001,22,47,49,7.552820890804668
1h,1000,23,46,48,7.647754372741455
1h,1001,23,46,48,7.647754372741455
1h,1000,24,43,46,12.858850825275447
1h,1001,24,43,46,12.858850825275447
1h,1000,25,41,43,6.339255093988494
1h,1001,25,41,43,6.339255093988494
1h,1000,26,40,42,6.8206585582404555
1h,1001,26,40,42,6.8206585582404555
1h,1000,27,39,40,-1.9809086309635626
1h,1001,27,39,40,-1.9809086309635626
1h,1000,28,37,37,-2.3640627478132448
1h,1001,28,37,37,-2.3640627478132448
1h,1000,29,35,35,-2.711735582621033
1h,1001,29,35,35,-2.711735582621033
1h,1000,30,34,34,-3.1712418068528203
1h,1001,30,34,34,-3.1712418068528203
1h,1000,31,32,32,-3.073568502962165
1h,1001,31,32,32,-3.073568502962165
1h,1000,32,31,31,-3.020096665141059
1h,1001,32,31,31,-3.020096665141059
1h,1000,33,30,30,-3.010580265809004
1h,1001,33,30,30,-3.010580265809004
1h,1000,34,30,30,-3.010580265809004
1h,1001,34,30,30,-3.010580265809004
1h,1000,35,30,30,-3.010580265809004
1h,1001,35,30,30,-3.010580265809004
1h,1000,36,30,30,-3.010580265809004
1h,1001,36,30,30,-3.010580265809004
1h,1000,37,29,29,-2.661453896714272
1h,1001,37,29,29,-2.661453896714272
1h,1000,38,29,29,-2.661453896714272
1h,1001,38,29,29,-2.661453896714272
1h,1000,39,28,28,-2.783829873962207
1h,1001,39,28,28,-2.783829873962207
1h,1000,40,28,28,-2.783829873962207
1h,1001,40,28,28,-2.783829873962207
1h,1000,41,27,27,-2.7436354671478758
1h,1001,41,27,27,-2.7436354671478758
1h,1000,42,27,27,-2.7436354671478758
1h,1001,42,27,27,-2.7436354671478758
1h,1000,43,26,26,-2.4274414062465888
1h,1001,43,26,26,-2.4274414062465888
1h,1000,44,26,26,-2.4274414062465888
1h,1001,44,26,26,-2.4274414062465888
1h,1000,45,24,24,-1.8124529617227547
1h,1001,45,24,24,-1.8124529617227547
1h,1000,46,24,24,-1.8124529617227547
1h,1001,46,24,24,-1.8124529617227547
1h,1000,47,24,24,-1.8124529617227547
1h,1001,47,24,24,-1.8124529617227547
1h,1000,48,24,24,-1.8124529617227547
1h,1001,48,24,24,-1.8124529617227547
1h,1000,49,23,23,-1.122002534019939
1h,1001,49,23,23,-1.122002534019939
1h,1001,49,23,23,-1.122002534019939
1h,1000,30,34,34,-3.1712418068528203
1h,1000,30,34,34,-3.1712418068528203
1h,1000,10,119,133,205.44205187350707
1h,1000,10,120,133,157.52437413218166
1h,1000,10,120,133,157.52437413218166
1h,1000,10,120,133,157.52437413218166
1h,1000,10,120,133,157.52437413218166
1h,1000,10,120,133,157.52437413218166
1h,10,1000,0,0,0.0
1h,1000,10,120,133,157.52437413218166
1h,1000,10,120,133,157.52437413218166
1h,1000,10,120,133,156.70478928009464
1h,1000,10,120,133,156.70478928009464
1h,1000,42,27,27,-2.7436354671478758
1h,1000,42,27,27,-2.7436354671478758
1h,100,42,0,0,0.0
1h,100,15,1,1,-0.29929419498119225
1h,100,15,2,1,0.5700038959628229
1h,100,15,1,0,0
1h,100,15,0,0,0.0
1h,100,15,0,0,0.0
1h,100,15,0,0,0.0
1h,100,15,0,4,0
1h,100,15,5,4,-9.147601654147818
1h,100,15,0,4,0
1h,100,15,5,4,-9.147601654147818
1h,100,15,4,4,-9.147601654147818
1h,150,15,5,5,-15.736923741089226
1h,150,15,5,5,-15.736923741089226
1h,150,15,0,5,0
1h,150,15,6,5,-15.736923741089226
1h,1000,15,124,123,-39.717271856407
1h,100,15,5,4,-9.147601654147818
1h,100,15,4,4,0.8657993294930888
1h,100,15,0,4,0
1h,300,15,0,22,0
1h,300,15,22,22,-2.9940023932846893
1h,300,15,0,22,0
1h,300,15,0,22,0
1h,300,15,0,22,0
1h,300,15,0,22,0
1h,300,15,0,22,0
1h,300,15,0,22,0
1h,300,15,0,22,0
1h,300,15,0,22,0
1h,300,15,0,22,0
1h,300,15,0,22,0
1h,300,15,0,22,0
1h,300,15,0,22,0
1h,300,15,8,7,-15.248679958808776
1h,100,15,2,1,-8.410730252216236
1h,150,15,3,2,-15.053495980628739
1h,150,15,3,2,-7.444898967810721
1h,150,15,3,2,-7.444898967810721
1h,300,15,17,17,1.468792160518717
1h,300,15,6,6,3.413094165725594
1h,500,15,10,10,4.04924233793913
1h,500,15,10,10,4.04924233793913
1h,500,15,10,10,4.04924233793913
1h,500,15,10,10,4.04924233793913
1h,500,15,10,10,4.04924233793913
1h,500,15,10,10,4.04924233793913
1h,500,15,10,10,4.04924233793913
1h,500,15,10,10,4.04924233793913
1h,500,15,10,10,4.04924233793913
1h,500,15,10,10,4.04924233793913
1h,500,15,6,6,3.413094165725594
1h,500,15,6,6,3.413094165725594
1h,500,15,10,10,4.5838110720590075
1h,500,15,10,10,4.855295013063077
1h,500,15,10,10,-1.1350690447580858
1h,5000,15,87,87,-12.887416320201462
1h,3000,15,54,54,-10.192887884445822
1h,1000,15,21,21,-1.4091492795129223
1h,1000,15,21,21,-1.4091492795129223
1h,100,15,1,1,-5.323239224698051
1h,1000,30,30,30,-3.8947822035403368
1h,1000,15,22,21,-8.934613677860636
1h,1000,15,21,21,-1.4091492795129223
1h,1000,15,21,21,-1.4091492795129223
1h,1000,15,21,21,-1.4091492795129223
1h,1000,15,22,21,-1.4091492795129223
1h,500,15,11,10,-0.9505590512794315
1h,3000,15,55,54,-10.192887884445822
1h,100,15,2,1,-5.323239224698051
1h,200,15,3,2,-5.498397350837269
1h,250,15,4,3,-6.020372030324561
1h,250,15,4,3,-6.020372030324561
1h,250,15,4,3,-6.020372030324561
1h,250,15,4,3,-6.020372030324561
1h,250,15,4,3,-6.020372030324561
1h,250,15,4,3,-6.020372030324561
1h,250,15,4,3,-6.020372030324561
1h,250,15,4,3,-6.020372030324561
1h,250,15,4,3,-6.020372030324561
1h,250,15,4,3,-6.020372030324561
1h,250,15,4,3,-6.020372030324561
1h,250,15,4,3,-6.020372030324561
1h,250,15,4,3,-6.020372030324561
1h,250,15,4,3,-6.020372030324561
1h,1000,15,21,20,-2.2849671857110954
1h,5000,15,88,87,-12.531231870597036
1h,2000,15,39,38,1.2447079668867378
1h,4000,15,72,71,-19.450719691166874
1h,400,15,8,7,-2.091832226378243
1h,400,15,8,7,-2.091832226378243
1h,400,15,8,7,-2.091832226378243
1h,400,15,8,7,-2.091832226378243
1h,400,15,8,7,-2.091832226378243
1h,400,15,8,7,-2.091832226378243
1h,400,15,3,3,1.0775582112347193
1h,400,15,3,2,6.548951046898033
1h,4000,15,3,2,6.548951046898033
1h,4000,15,3,2,6.548951046898033
1h,9000,15,3,2,6.548951046898033
1h,9000,15,8,7,-1.722714978007267
1h,9000,15,8,7,-2.091832226378243
1h,9000,15,8,7,-2.091832226378243
1h,9000,15,7,6,-1.3562897369687077
1h,4000,15,7,6,-1.3562897369687077
1h,4000,15,7,6,-1.3562897369687077
1h,4000,15,7,6,-1.3562897369687077
1h,4000,15,8,7,-1.722714978007267
1h,4000,15,8,7,-2.091832226378243
1h,4000,15,8,7,-2.091832226378243
1h,400,15,8,7,-2.091832226378243
1h,400,15,8,7,-2.091832226378243
1h,400,15,8,7,-2.091832226378243
1h,400,15,8,7,-2.091832226378243
1h,400,15,8,7,-2.091832226378243
1h,1400,15,29,28,1.4402744217134833
1h,1400,15,29,28,1.4402744217134833
1h,1400,15,21,20,-0.7752475713543983
1h,1400,15,7,6,13.38346950473166
1h,4000,15,13,12,-5.125172446537929
1h,10000,15,28,27,-28.35069636497153
1h,1000,15,6,5,10.655340483983334
1h,1000,15,6,5,10.655340483983334
1h,1000,15,6,5,10.655340483983334
1h,4000,15,13,12,-5.125172446537929
1h,4000,15,13,12,-5.125172446537929
1h,10000,15,28,27,-27.54518816371071
1d,1000,15,0,0,0.0
1d,8000,15,0,0,0.0
1h,8000,15,25,24,-14.253577154414476
1h,20000,15,56,55,-12.593774018207181
1h,20000,15,139,138,-32.359356248986536
1h,20000,15,94,93,-4.3804163055907175
1h,20000,15,49,48,-19.33278477609771
1h,20000,15,105,105,-3.5261246260680834
1h,20000,15,105,105,-3.5261246260680834
1h,20000,15,202,201,-55.576450839737525
1h,20000,15,44,43,3.503051206733687
1h,20000,15,7,7,9.181323811797037
1h,20000,15,50,49,1.9969571113805484
1h,20000,15,50,49,1.9969571113805484
1h,20000,15,50,49,1.9969571113805484
1h,20000,15,50,49,1.9969571113805484
1h,20000,15,50,49,1.9969571113805484
1h,20000,15,50,49,1.9969571113805484
1h,20000,20,36,35,-0.19703621780361447
1h,20000,7,158,157,28.331315512293553
1h,20000,7,207,206,-1.1697424955736668
1h,20000,7,207,206,0.12031965823369184
1h,20000,7,205,204,-1.2991324394802661
1h,20000,7,204,203,-1.7748099980430587
1h,20000,7,202,201,-4.273339154382572
1h,20000,7,199,198,4.602277283633782
1h,20000,7,191,190,20.102644304799554
1h,20000,7,175,174,15.163627804037105
1h,20000,7,159,158,30.133989797563522
1h,20000,7,112,111,-9.608945273466452
1h,20000,7,1,0,0
1h,20000,7,1,0,0
1h,20000,7,1,0,0
1h,20000,7,1,0,0
1h,20000,7,1,0,0
