1h,20000,20,2,934,933,2975995.074375412
1h,20000,20,3,748,747,448650.1171311435
1h,20000,20,4,632,631,147766.88634735282
1h,20000,20,5,561,560,71011.86778583961
1h,20000,20,6,510,509,38820.14143756271
1h,20000,20,7,479,478,21243.123063064682
1h,20000,20,8,446,445,14452.764063582465
1h,20000,20,9,414,413,11837.194484228301
1h,20000,21,2,899,898,2709781.743307251
1h,20000,21,3,724,723,326601.2027430333
1h,20000,21,4,613,612,128949.57265850542
1h,20000,21,5,544,543,56233.12298317873
1h,20000,21,6,504,503,32404.34728324978
1h,20000,21,7,460,459,19003.159925869615
1h,20000,21,8,431,430,14595.788600774324
1h,20000,21,9,405,404,10131.218413070383
1h,20000,22,2,872,871,2250786.3677220745
1h,20000,22,3,687,686,280979.9437368477
1h,20000,22,4,602,601,118341.75672886029
1h,20000,22,5,528,527,50242.49728550945
1h,20000,22,6,491,490,27832.33330477325
1h,20000,22,7,454,453,17791.946729943156
1h,20000,22,8,418,417,12678.79603473431
1h,20000,22,9,394,393,10229.84193811588
1h,20000,23,2,844,843,1759517.419511967
1h,20000,23,3,671,670,240346.08328594491
1h,20000,23,4,578,577,103422.66702483241
1h,20000,23,5,517,516,46589.48856981571
1h,20000,23,6,474,473,26309.130340206048
1h,20000,23,7,439,438,17783.636507440522
1h,20000,23,8,413,412,12271.815884533307
1h,20000,23,9,385,384,8311.827491021708
1h,20000,24,2,826,825,1419816.6380066753
1h,20000,24,3,648,647,215420.73348747555
1h,20000,24,4,562,561,71489.1925234018
1h,20000,24,5,512,511,40563.144065741406
1h,20000,24,6,462,461,24478.03776341326
1h,20000,24,7,427,426,16470.335806027084
1h,20000,24,8,401,400,10884.458892855739
1h,20000,24,9,370,369,8341.94386023913
1h,20000,25,2,798,797,1046119.4450030538
1h,20000,25,3,639,638,186864.69226983562
1h,20000,25,4,561,560,73271.50182892573
1h,20000,25,5,497,496,35848.482797150136
1h,20000,25,6,453,452,23335.670321404756
1h,20000,25,7,424,423,15757.136659220714
1h,20000,25,8,386,385,9870.786863785403
1h,20000,25,9,365,364,7447.552250174241
1h,20000,26,2,780,779,816320.8310394691
1h,20000,26,3,628,627,180122.66349797754
1h,20000,26,4,551,550,61956.34796891665
1h,20000,26,5,489,488,32696.573174942183
1h,20000,26,6,444,443,21543.50243645663
1h,20000,26,7,411,410,12926.28099557481
1h,20000,26,8,372,371,8785.797676899863
1h,20000,26,9,364,363,7378.8131506030195
1h,20000,27,2,759,758,735013.4952074517
1h,20000,27,3,619,618,159782.28132807455
1h,20000,27,4,535,534,59797.97113836693
1h,20000,27,5,481,480,30797.804457294096
1h,20000,27,6,434,433,18831.48092307636
1h,20000,27,7,398,397,12401.754624297811
1h,20000,27,8,367,366,8680.835283883369
1h,20000,27,9,358,357,7122.624152307992
1h,20000,28,2,746,745,685611.8830960602
1h,20000,28,3,604,603,141677.5349885975
1h,20000,28,4,523,522,57226.980281194104
1h,20000,28,5,467,466,27443.861937785205
1h,20000,28,6,429,428,17417.605474888886
1h,20000,28,7,396,395,10750.204420667482
1h,20000,28,8,372,371,8869.134660146086
1h,20000,28,9,358,357,6541.648425513856
1h,20000,29,2,732,731,618421.0951943215
1h,20000,29,3,594,593,129187.45780802096
1h,20000,29,4,511,510,52936.02446479864
1h,20000,29,5,458,457,27762.678188429778
1h,20000,29,6,424,423,15956.974604555635
1h,20000,29,7,395,394,10480.769254606288
1h,20000,29,8,361,360,8315.590300995413
1h,20000,29,9,349,348,5676.553652833458
1h,20000,30,2,723,722,553198.3124411191
1h,20000,30,3,592,591,131997.9719587199
1h,20000,30,4,504,503,48175.300900262286
1h,20000,30,5,458,457,27345.31205789438
1h,20000,30,6,414,413,15036.011370384696
1h,20000,30,7,387,386,9388.855806287727
1h,20000,30,8,358,357,7798.939999106065
1h,20000,30,9,343,342,5655.05785215385
1h,20000,31,2,709,708,513039.30073241325
1h,20000,31,3,585,584,126475.20121241243
1h,20000,31,4,501,500,48146.79056772154
1h,20000,31,5,449,448,23583.580677075413
1h,20000,31,6,408,407,14947.015261263046
1h,20000,31,7,377,376,9559.971024068866
1h,20000,31,8,351,350,6362.6900531737265
1h,20000,31,9,337,336,5135.133738195977
1h,20000,32,2,698,697,476349.4321982826
1h,20000,32,3,575,574,119555.0410847562
1h,20000,32,4,489,488,43678.506390553375
1h,20000,32,5,444,443,20044.574347392685
1h,20000,32,6,400,399,14068.65005419733
1h,20000,32,7,364,363,8880.75074310688
1h,20000,32,8,346,345,6191.1390447505455
1h,20000,32,9,326,325,4754.857288870246
1h,20000,33,2,682,681,437494.01911697316
1h,20000,33,3,558,557,104971.0565394675
1h,20000,33,4,484,483,39696.21876996097
1h,20000,33,5,429,428,21197.45570608682
1h,20000,33,6,387,386,12808.067411128115
1h,20000,33,7,355,354,7437.338588012148
1h,20000,33,8,340,339,5889.890173626172
1h,20000,33,9,320,319,4626.528589338978
1h,20000,34,2,667,666,416126.3596892017
1h,20000,34,3,547,546,103550.00525977975
1h,20000,34,4,483,482,37824.82916933146
1h,20000,34,5,418,417,20693.667276763197
1h,20000,34,6,376,375,11328.765019851122
1h,20000,34,7,353,352,7141.4550617494515
1h,20000,34,8,332,331,5496.042929783641
1h,20000,34,9,318,317,4517.324976756452
1h,20000,35,2,659,658,373802.95057028136
1h,20000,35,3,542,541,89479.49762016618
1h,20000,35,4,473,472,33315.268909395134
1h,20000,35,5,404,403,20279.593046576876
1h,20000,35,6,369,368,10229.952155892543
1h,20000,35,7,348,347,6877.420325604646
1h,20000,35,8,327,326,5145.008514175863
1h,20000,35,9,314,313,4375.785160984563
1h,20000,36,2,650,649,322215.0923302988
1h,20000,36,3,537,536,81841.29157915991
1h,20000,36,4,453,452,31148.90414620532
1h,20000,36,5,399,398,17497.555666401986
1h,20000,36,6,360,359,9335.60900319949
1h,20000,36,7,343,342,6358.6436135338445
1h,20000,36,8,324,323,5246.013134842508
1h,20000,36,9,314,313,4440.1697313186805
1h,20000,37,2,645,644,296937.3916345695
1h,20000,37,3,524,523,73451.27198778297
1h,20000,37,4,439,438,27758.691550861455
1h,20000,37,5,389,388,15302.605148533701
1h,20000,37,6,355,354,8801.503102786424
1h,20000,37,7,336,335,6067.8337040042925
1h,20000,37,8,322,321,5359.534396130784
1h,20000,37,9,304,303,4337.536959186505
1h,20000,38,2,632,631,279873.34838382254
1h,20000,38,3,502,501,68817.30279234744
1h,20000,38,4,425,424,24523.766024130204
1h,20000,38,5,383,382,15070.272623091923
1h,20000,38,6,355,354,8087.855424332214
1h,20000,38,7,341,340,6073.906716543185
1h,20000,38,8,322,321,5218.74798115906
1h,20000,38,9,302,301,4469.6355987854895
1h,20000,39,2,626,625,262743.4841735728
1h,20000,39,3,493,492,63047.25145731896
1h,20000,39,4,424,423,24182.560878434517
1h,20000,39,5,380,379,14812.834458468762
1h,20000,39,6,355,354,8036.371127087326
1h,20000,39,7,329,328,6152.845051693782
1h,20000,39,8,317,316,5319.352150139367
1h,20000,39,9,295,294,4214.871578038293
1h,20000,40,2,615,614,238799.39727200227
1h,20000,40,3,490,489,58393.344053456465
1h,20000,40,4,416,415,22591.865294731426
1h,20000,40,5,377,376,12817.821139384745
1h,20000,40,6,348,347,7448.993744824611
1h,20000,40,7,325,324,6214.9094265932445
1h,20000,40,8,313,312,4771.80310649747
1h,20000,40,9,294,293,3855.7172115672515
1h,20000,41,2,613,612,226487.46302339854
1h,20000,41,3,477,476,55373.385661700784
1h,20000,41,4,417,416,22828.53131785451
1h,20000,41,5,372,371,11878.951098857482
1h,20000,41,6,347,346,7228.747666756009
1h,20000,41,7,321,320,6163.1322020627285
1h,20000,41,8,311,310,4755.258967356557
1h,20000,41,9,289,288,3679.9547915478743
1h,20000,42,2,606,605,212549.7048078746
1h,20000,42,3,466,465,47854.85811209079
1h,20000,42,4,411,410,21253.82443572942
1h,20000,42,5,368,367,11570.25352387254
1h,20000,42,6,344,343,7343.450727133215
1h,20000,42,7,318,317,5718.596856431945
1h,20000,42,8,300,299,4399.690347931563
1h,20000,42,9,293,292,3596.6819386957
1h,20000,43,2,602,601,204641.09224888537
1h,20000,43,3,469,468,47975.088756031575
1h,20000,43,4,406,405,20115.274705706976
1h,20000,43,5,378,377,10910.963221928145
1h,20000,43,6,339,338,7535.718131342585
1h,20000,43,7,311,310,5864.688481295598
1h,20000,43,8,298,297,4439.970095895928
1h,20000,43,9,291,290,3227.6157271433376
1h,20000,44,2,592,591,193085.89478614542
1h,20000,44,3,464,463,45717.46448113585
1h,20000,44,4,404,403,20532.0357679088
1h,20000,44,5,368,367,10365.472717469731
1h,20000,44,6,333,332,7352.6936834298995
1h,20000,44,7,306,305,5515.021437247464
1h,20000,44,8,298,297,4245.591128885633
1h,20000,44,9,288,287,2981.000365186378
1h,20000,45,2,572,571,170364.44042998145
1h,20000,45,3,469,468,39946.557351231255
1h,20000,45,4,405,404,19618.81215910412
1h,20000,45,5,367,366,10570.389699190559
1h,20000,45,6,331,330,6963.860982146592
1h,20000,45,7,308,307,4908.770112204777
1h,20000,45,8,296,295,4301.4825578173595
1h,20000,45,9,281,280,2986.766688410994
1h,20000,46,2,570,569,162525.4452449003
1h,20000,46,3,465,464,37378.893155050704
1h,20000,46,4,405,404,18756.63447294766
1h,20000,46,5,365,364,10623.251709489141
1h,20000,46,6,331,330,6575.5981700783595
1h,20000,46,7,311,310,4528.030007212847
1h,20000,46,8,291,290,4018.3621854535686
1h,20000,46,9,279,278,2948.824752182617
1h,20000,47,2,559,558,161069.16514058475
1h,20000,47,3,462,461,37828.11721268314
1h,20000,47,4,410,409,17813.133198969623
1h,20000,47,5,364,363,9488.515306901752
1h,20000,47,6,325,324,6386.08854002173
1h,20000,47,7,305,304,4507.884892542106
1h,20000,47,8,291,290,3756.4878108688895
1h,20000,47,9,287,286,2818.013009963844
1h,20000,48,2,552,551,151085.31479252139
1h,20000,48,3,450,449,37759.346888801345
1h,20000,48,4,408,407,17610.785718699553
1h,20000,48,5,358,357,8859.644150176046
1h,20000,48,6,326,325,5815.285487060057
1h,20000,48,7,306,305,4484.848491498259
1h,20000,48,8,293,292,3455.0653474925903
1h,20000,48,9,285,284,2641.1996462735738
1h,20000,49,2,552,551,142089.04788754336
1h,20000,49,3,450,449,32213.698370653867
1h,20000,49,4,404,403,15066.140907240182
1h,20000,49,5,360,359,8489.586121554024
1h,20000,49,6,327,326,5792.1204305061265
1h,20000,49,7,303,302,4569.05257926746
1h,20000,49,8,293,292,3295.2753043108446
1h,20000,49,9,278,277,2485.898016363661
1h,20000,50,2,552,551,130768.19208595848
1h,20000,50,3,440,439,30740.400022502006
1h,20000,50,4,398,397,15360.714692780744
1h,20000,50,5,365,364,8154.470449308488
1h,20000,50,6,328,327,5549.202198122613
1h,20000,50,7,301,300,4627.882819595583
1h,20000,50,8,295,294,3075.899350350261
1h,20000,50,9,278,277,2489.877051963584
1h,20000,51,2,550,549,114886.25127571913
1h,20000,51,3,447,446,28913.750844738053
1h,20000,51,4,397,396,13024.610028777322
1h,20000,51,5,358,357,7733.587720575643
1h,20000,51,6,337,336,5273.619935851222
1h,20000,51,7,307,306,4409.931484024452
1h,20000,51,8,296,295,3039.117900978016
1h,20000,51,9,276,275,2342.661867826018
1h,20000,52,2,538,537,104444.07476668913
1h,20000,52,3,440,439,27089.526851931783
1h,20000,50,2,552,552,130911.74072287467
1h,20000,50,3,440,439,30740.400022502006
