timeframe,,,high,low,,slow ema,fast ema,,,% return,,
1h,20000,15,0.996,1.004,7,38,4,382,381,353.349981036738,,using ema
1h,20000,15,0.996,1.004,7,37,4,389,388,349.367649136455,,
1h,20000,15,0.996,1.004,7,35,4,403,402,335.628083903936,,
1h,20000,15,0.996,1.004,7,38,3,425,424,334.694248464901,,
1h,20000,15,0.996,1.004,7,36,4,399,398,320.296156279434,,
1h,20000,15,0.996,1.004,7,39,4,379,378,310.309262191092,,
1h,20000,15,0.996,1.004,7,33,8,319,318,309.373756243482,,
1h,20000,15,0.996,1.004,7,33,8,319,318,309.373756243482,,
1h,20000,15,0.996,1.004,7,39,3,423,422,305.957476612086,,
1h,20000,15,0.996,1.004,7,33,6,355,354,303.123173497651,,
1h,20000,15,0.996,1.004,7,31,7,351,350,303.100257048158,,
1h,20000,15,0.996,1.004,7,31,7,351,350,303.100257048158,,
1h,20000,15,0.996,1.004,7,37,3,439,438,298.160396338619,,
1h,20000,15,0.996,1.004,7,33,5,387,386,295.63092026605,,
1h,20000,15,0.996,1.004,7,32,9,312,311,291.687463442327,,
1h,20000,15,0.996,1.004,7,32,8,327,326,286.958160073193,,
1h,20000,15,0.996,1.004,7,32,8,327,326,286.958160073193,,
1h,20000,15,0.996,1.004,7,32,6,364,363,285.788812580831,,
1h,20000,15,0.996,1.004,7,30,7,358,357,284.97600090449,,
1h,20000,15,0.996,1.004,7,32,7,346,345,281.825687227061,,
1h,20000,15,0.996,1.004,7,32,7,346,345,281.825687227061,,
1h,20000,15,0.996,1.004,7,32,5,400,399,280.705527932817,,
1h,20000,15,0.996,1.004,7,33,7,341,340,279.964810423356,,
1h,20000,15,0.996,1.004,7,33,7,341,340,279.135272109494,,
1h,20000,15,0.996,1.004,7,31,6,377,376,278.931546125015,,
1h,20000,15,0.996,1.004,7,30,6,387,386,278.824043653665,,
1h,20000,15,0.996,1.004,7,30,9,324,323,265.138243693163,,
1h,20000,15,0.996,1.004,7,29,4,458,457,264.109435081855,,
1h,20000,15,0.996,1.004,7,34,4,418,417,263.230289479462,,
1h,20000,15,0.996,1.004,7,30,5,414,413,263.098504632115,,
1h,20000,15,0.996,1.004,7,31,9,319,318,263.093915423268,,
1h,20000,15,0.996,1.004,7,36,3,453,452,262.820743504339,,
1h,20000,15,0.996,1.004,7,30,8,343,342,259.683901504586,,
1h,20000,15,0.996,1.004,7,25,4,497,496,251.22277163347,,
1h,20000,15,0.996,1.004,7,22,4,528,527,251.217419651333,,
1h,20000,15,0.996,1.004,7,31,8,338,337,250.87667215049,,
1h,20000,15,0.996,1.004,7,31,8,338,337,250.87667215049,,
1h,20000,15,0.996,1.004,7,33,4,429,428,249.562994455356,,
1h,20000,15,0.996,1.004,7,33,4,429,428,249.562994455356,,
1h,20000,15,0.996,1.004,7,31,5,408,407,248.849338461692,,
1h,20000,15,0.996,1.004,7,23,4,517,516,245.519380267282,,
1h,20000,15,0.996,1.004,7,37,2,524,523,243.98898994573,,
1h,20000,15,0.996,1.004,7,39,2,493,492,242.258374411394,,
1h,20000,15,0.996,1.004,7,38,2,502,501,241.98717180447,,
1h,20000,15,0.996,1.004,7,32,3,489,488,241.66185325333,,
1h,20000,15,0.996,1.004,7,32,3,489,488,241.66185325333,,
1h,20000,15,0.996,1.004,7,23,3,578,577,240.150022809068,,
1h,20000,15,0.996,1.004,7,30,4,458,457,239.138757761908,,
1h,20000,15,0.996,1.004,7,24,3,562,561,236.776238399786,,
1h,20000,15,0.996,1.004,7,21,4,544,543,236.591885616367,,
1h,20000,15,0.996,1.004,7,26,4,490,489,235.929299617292,,
1h,20000,15,0.996,1.004,7,24,4,512,511,235.702540111658,,
1h,20000,15,0.996,1.004,7,28,4,467,466,235.157668504152,,
1h,20000,15,0.996,1.004,7,22,3,602,601,234.687967884524,,
1h,20000,15,0.996,1.004,7,50,2,439,438,234.030762558061,,
1h,20000,15,0.996,1.004,7,21,3,613,612,231.505802348181,,
1h,20000,15,0.996,1.004,7,20,4,561,560,231.255292620322,,
1h,20000,15,0.996,1.004,7,31,4,449,448,230.392993075495,,
1h,20000,15,0.996,1.004,7,31,4,449,448,230.392993075495,,
1h,20000,15,0.996,1.004,7,29,3,512,511,228.167460441408,,
1h,20000,15,0.996,1.004,7,26,3,552,551,225.262654019548,,
1h,20000,15,0.996,1.004,7,27,4,481,480,221.689257505603,,
1h,20000,15,0.996,1.004,7,19,4,591,590,220.087938355074,,
1h,20000,15,0.996,1.004,7,31,3,501,500,219.545592179294,,
1h,20000,15,0.996,1.004,7,31,3,501,500,219.545592179294,,
1h,20000,15,0.996,1.004,7,27,3,536,535,218.328981898554,,
1h,20000,15,0.996,1.004,7,33,3,484,483,210.231008308939,,
1h,20000,15,0.996,1.004,7,33,3,484,483,210.231008308939,,
1h,20000,15,0.996,1.004,7,28,3,524,523,208.628720987701,,
1h,20000,15,0.996,1.004,7,25,3,561,560,206.938664237496,,
1h,20000,15,0.996,1.004,7,30,3,504,503,206.34685117314,,
1h,20000,15,0.996,1.004,7,24,2,648,647,206.247130137084,,
1h,20000,15,0.996,1.004,7,32,4,444,443,206.239251705515,,
1h,20000,15,0.996,1.004,7,32,4,444,443,206.239251705515,,
1h,20000,15,0.996,1.004,7,35,3,472,471,204.909076308751,,
1h,20000,15,0.996,1.004,7,20,3,632,631,202.016975019602,,
1h,20000,15,0.996,1.004,7,34,2,547,546,201.656886862206,,
1h,20000,15,0.996,1.004,7,29,2,595,594,200.821359537184,,
1h,20000,15,0.996,1.004,7,34,3,483,482,198.960546624915,,
1h,20000,15,0.996,1.004,7,35,2,541,540,197.801486186543,,
1h,20000,15,0.996,1.004,7,18,4,603,602,196.47827008504,,
1h,20000,15,0.996,1.004,7,25,2,639,638,195.077196012904,,
1h,20000,15,0.996,1.004,7,26,2,628,627,194.871953706775,,
1h,20000,15,0.996,1.004,7,28,2,605,604,194.803750041401,,
1h,20000,15,0.996,1.004,7,27,2,620,619,191.559273699022,,
1h,20000,15,0.996,1.004,7,36,2,537,536,191.317411826191,,
1h,20000,15,0.996,1.004,7,33,2,558,557,184.255663431351,,
1h,20000,15,0.996,1.004,7,33,2,558,557,184.255663431351,,
1h,20000,15,0.996,1.004,7,17,4,625,624,180.6825359931,,
1h,20000,15,0.996,1.004,7,23,2,671,670,180.093555770172,,
1h,20000,15,0.996,1.004,7,31,2,585,584,178.323448841794,,
1h,20000,15,0.996,1.004,7,31,2,585,584,177.589813437828,,
1h,20000,15,0.996,1.004,7,39,1,626,625,174.602404379127,,
1h,20000,15,0.996,1.004,7,30,2,592,591,173.546360933908,,
1h,20000,15,0.996,1.004,7,19,3,654,653,170.66171555257,,
1h,20000,15,0.996,1.004,7,22,2,686,685,170.574041782254,,
1h,20000,15,0.996,1.004,7,32,2,575,574,165.404357395811,,
1h,20000,15,0.996,1.004,7,32,2,575,574,165.404357395811,,
1h,20000,15,0.996,1.004,7,16,4,648,647,161.223259013846,,
1h,20000,15,0.996,1.004,7,38,1,632,631,160.314448283596,,
1h,20000,15,0.996,1.004,7,36,1,650,649,148.74792725149,,
1h,20000,15,0.996,1.004,7,37,1,645,644,145.458042523062,,
1h,20000,15,0.996,1.004,7,50,1,550,549,144.511929190746,,
1h,20000,15,0.996,1.004,7,35,1,659,658,143.342473872972,,
1h,20000,15,0.996,1.004,7,15,4,679,678,140.387526736227,,
1h,20000,15,0.996,1.004,7,34,1,666,665,140.204475057935,,
1h,20000,15,0.996,1.004,7,32,1,698,697,136.935335878233,,
1h,20000,15,0.996,1.004,7,32,1,698,697,136.935335878233,,
1h,20000,15,0.996,1.004,7,28,1,746,745,134.452007288236,,
1h,20000,15,0.996,1.004,7,33,1,682,681,129.941022316155,,
1h,20000,15,0.996,1.004,7,33,1,682,681,129.941022316155,,
1h,20000,15,0.996,1.004,7,16,3,734,733,128.686119276335,,
1h,20000,15,0.996,1.004,7,17,3,706,705,127.665481454371,,
1h,20000,15,0.996,1.004,7,18,3,685,684,125.937944439339,,
1h,20000,15,0.996,1.004,7,31,1,709,708,125.522974011578,,
1h,20000,15,0.996,1.004,7,31,1,709,708,125.522974011578,,
1h,20000,15,0.996,1.004,7,29,1,733,732,123.601100279367,,
1h,20000,15,0.996,1.004,7,27,1,759,758,121.679270932647,,
1h,20000,15,0.996,1.004,7,21,2,724,723,118.614506636883,,
1h,20000,15,0.996,1.004,7,30,1,723,722,117.582182570076,,
1h,20000,15,0.996,1.004,7,14,4,710,709,117.175760747429,,
1h,20000,15,0.996,1.004,7,26,1,780,779,108.967978330584,,
1h,20000,15,0.996,1.004,7,25,1,798,797,105.86008284174,,
1h,20000,15,0.996,1.004,7,13,4,741,740,101.202228305229,,
1h,20000,15,0.996,1.004,7,12,4,769,768,99.8138500936298,,
1h,20000,15,0.996,1.004,7,20,2,748,747,95.335056034721,,
1h,20000,15,0.996,1.004,7,15,3,769,768,94.5828085225748,,
1h,20000,15,0.996,1.004,7,19,2,767,766,91.009451902085,,
1h,20000,15,0.996,1.004,7,18,2,798,797,88.3502943026451,,
1h,20000,15,0.996,1.004,7,17,2,818,817,82.8280705723947,,
1h,20000,15,0.996,1.004,7,24,1,826,825,80.7121329203587,,
1h,20000,15,0.996,1.004,7,14,3,799,798,79.9837207394934,,
1h,20000,15,0.996,1.004,7,23,1,844,843,71.2808617394272,,
1h,20000,15,0.996,1.004,7,22,1,872,871,60.2162310192322,,
1h,20000,15,0.996,1.004,7,13,3,836,835,54.1747145021399,,
1h,20000,15,0.996,1.004,7,10,4,846,845,53.4672951096669,,
1h,20000,15,0.996,1.004,7,11,4,801,800,53.093850904991,,
1h,20000,15,0.996,1.004,7,21,1,899,898,48.8369503581491,,
1h,20000,15,0.996,1.004,7,9,4,880,879,44.1923942861264,,
1h,20000,15,0.996,1.004,7,16,2,860,859,43.1659161205077,,
1h,20000,15,0.996,1.004,7,11,3,900,899,31.9020955550785,,
1h,20000,15,0.996,1.004,7,20,1,934,933,26.5193442560212,,
1h,20000,15,0.996,1.004,7,15,2,897,896,24.7117457011156,,
1h,20000,15,0.996,1.004,7,10,3,937,936,22.6511787655373,,
1h,20000,15,0.996,1.004,7,12,3,873,872,21.4869386623927,,
1h,20000,15,0.996,1.004,7,8,4,942,941,18.9457757464884,,
1h,20000,15,0.996,1.004,7,11,2,1032,1031,17.473144317418,,
1h,20000,15,0.996,1.004,7,14,2,932,931,11.2263451548989,,
1h,20000,15,0.996,1.004,7,19,1,967,966,8.69806489482372,,
1h,20000,15,0.996,1.004,7,9,3,994,993,8.63288281898693,,
1h,20000,15,0.996,1.004,7,12,2,989,988,8.56706155049538,,
1h,20000,15,0.996,1.004,7,10,2,1080,1079,6.66834590640835,,
1h,20000,15,0.996,1.004,7,7,4,1005,1004,4.6428259030191,,
1h,20000,15,0.996,1.004,7,13,2,962,961,3.73227923607453,,
1h,20000,15,0.996,1.004,7,5,4,0,0,0,,
1h,20000,15,0.996,1.004,7,17,1,1022,1021,-6.80944900726683,,
1h,20000,15,0.996,1.004,7,8,3,1054,1053,-8.05405403411441,,
1h,20000,15,0.996,1.004,7,18,1,1000,999,-9.62065998574815,,
1h,20000,15,0.996,1.004,7,9,2,1137,1136,-10.665067232824,,
1h,20000,15,0.996,1.004,7,14,1,1118,1117,-11.7057897871252,,
1h,20000,15,0.996,1.004,7,13,1,1155,1154,-12.2020303941161,,
1h,20000,15,0.996,1.004,7,15,1,1090,1089,-14.3476773826002,,
1h,20000,15,0.996,1.004,7,16,1,1056,1055,-15.4221974553931,,
1h,20000,15,0.996,1.004,7,12,1,1200,1199,-16.4437721514621,,
1h,20000,15,0.996,1.004,7,7,3,1136,1135,-16.9010966568251,,
1h,20000,15,0.996,1.004,7,11,1,1268,1267,-25.9988362671363,,
1h,20000,15,0.996,1.004,7,6,4,1103,1102,-26.30238560562,,
1h,20000,15,0.996,1.004,7,8,2,1236,1235,-29.4852299890227,,
1h,20000,15,0.996,1.004,7,10,1,1334,1333,-39.5294356739142,,
1h,20000,15,0.996,1.004,7,6,3,1254,1253,-43.0173501093616,,
1h,20000,15,0.996,1.004,7,7,2,1348,1347,-54.6513097833063,,
1h,20000,15,0.996,1.004,7,9,1,1429,1428,-56.9161397541509,,
1h,20000,15,0.996,1.004,7,5,3,1381,1380,-60.1201285961744,,
1h,20000,15,0.996,1.004,7,6,2,1451,1450,-61.0746520131304,,
1h,20000,15,0.996,1.004,7,8,1,1540,1539,-67.3738963181961,,
1h,20000,15,0.996,1.004,7,7,1,1639,1638,-71.9268563651405,,
1h,20000,15,0.996,1.004,7,5,2,1596,1595,-73.4845620996146,,
1h,20000,15,0.996,1.004,7,6,1,1805,1804,-80.9810083259266,,
1h,20000,15,0.996,1.004,7,5,1,1961,1960,-88.8608764285877,,
1h,20000,15,0.996,1.004,7,39,3,424,423,304.1670258052657
1h,20000,15,0.996,1.004,7,39,4,379,378,311.20156328696595
1h,20000,15,0.996,1.004,7,39,5,355,354,298.50422245432776
1h,20000,15,0.996,1.004,7,39,6,329,328,285.11794282346244
1h,20000,15,0.996,1.004,7,40,3,415,414,307.68134882997754
1h,20000,15,0.996,1.004,7,40,4,377,376,307.5922549540178
1h,20000,15,0.996,1.004,7,40,5,348,347,293.9892422857435
1h,20000,15,0.996,1.004,7,39,3,424,423,304.1670258052657
1h,20000,15,0.996,1.004,7,39,4,379,378,311.20156328696595
1h,20000,15,0.996,1.004,7,40,3,415,414,307.68134882997754
1h,20000,15,0.996,1.004,7,40,4,377,376,307.5922549540178
1h,20000,15,0.996,1.004,7,41,3,416,415,292.67986407403674
1h,20000,15,0.996,1.004,7,41,4,372,371,313.6301881206819
1h,20000,15,0.996,1.004,7,42,3,410,409,258.05782361040986
1h,20000,15,0.996,1.004,7,42,4,367,366,305.0189332161943
1h,20000,15,0.996,1.004,7,43,3,405,404,258.0655234935894
1h,20000,15,0.996,1.004,7,43,4,376,375,272.56373266095244
1h,20000,15,0.996,1.004,7,44,3,403,402,280.3482438403508
1h,20000,15,0.996,1.004,7,39,3,493,492,242.39481202681134
1h,20000,15,0.996,1.004,7,39,4,424,423,304.1670258052657
1h,20000,15,0.996,1.004,7,40,3,490,489,244.46023452083205
1h,20000,15,0.996,1.004,7,40,4,415,414,307.68134882997754
1h,20000,15,0.996,1.004,7,41,3,477,476,264.084583713738
1h,20000,15,0.996,1.004,7,41,4,416,415,293.53382645151214
1h,20000,15,0.996,1.004,7,42,3,466,465,265.415403377278
1h,20000,15,0.996,1.004,7,42,4,410,409,258.05782361040986
1h,20000,15,0.996,1.004,7,43,3,469,468,249.82303985418014
1h,20000,15,0.996,1.004,7,43,4,405,404,257.4439936547228
1h,20000,15,0.996,1.004,7,44,3,464,463,230.65218417299383
1h,20000,15,0.996,1.004,7,44,4,403,402,280.3482438403508
1h,20000,15,0.996,1.004,7,45,3,470,469,183.23850907926146
1h,20000,15,0.996,1.004,7,45,4,405,404,259.0885146656798
1h,20000,15,0.996,1.004,7,46,3,466,465,186.7509165938585
1h,20000,15,0.996,1.004,7,46,4,405,404,247.33566590250163
1h,20000,15,0.996,1.004,7,47,3,462,461,203.9074557372691
1h,20000,15,0.996,1.004,7,47,4,409,408,222.91625557561758
1h,20000,15,0.996,1.004,7,48,3,449,448,220.4929939090973
1h,20000,15,0.996,1.004,7,48,4,407,406,229.14003972251638
1h,20000,15,0.996,1.004,7,49,3,449,448,219.56012930148404
1h,20000,15,0.996,1.004,7,49,4,403,402,218.99286613434873
1h,20000,15,0.996,1.004,7,50,3,440,439,232.44063161319676
1h,20000,15,0.996,1.004,7,50,4,398,397,230.4999879864386
1h,20000,15,0.996,1.004,7,51,3,447,446,207.47237274712708
